# HSK 3.0 level-7-9 — official vocabulary (word IDs = official global index; stable forever)
# columns: id\tsimp\tpinyin\thsk3_level\tfreq_rank
# source: https://www.hanzistroke.com/hsk/3.0/level-7-9 · retrieved 2026-07-11
5401	挨	āi	7	5401
5402	挨家挨户	āi jiā āi hù	7	5402
5403	哀求	āi qiú	7	5403
5405	癌	ái	7	5405
5406	癌症	ái zhèng	7	5406
5407	爱不释手	ài bù shì shǒu	7	5407
5408	爱戴	ài dài	7	5408
5409	暧昧	ài mèi	7	5409
5410	爱慕	ài mù	7	5410
5411	碍事	ài shì	7	5411
5412	爱惜	ài xī	7	5412
5413	艾滋病	ài zī bìng	7	5413
5414	安定	ān dìng	7	5414
5415	安抚	ān fǔ	7	5415
5416	安眠药	ān mián yào	7	5416
5417	安宁	ān níng	7	5417
5418	安稳	ān wěn	7	5418
5420	安心	ān xīn	7	5420
5421	安逸	ān yì	7	5421
5422	安置	ān zhì	7	5422
5423	暗地里	àn dì lǐ	7	5423
5424	案件	àn jiàn	7	5424
5425	按理	àn lǐ	7	5425
5426	按钮	àn niǔ	7	5426
5427	按说	àn shuō	7	5427
5428	暗中	àn zhōng	7	5428
5429	凹	āo	7	5429
5432	傲慢	ào màn	7	5432
5433	奥秘	ào mì	7	5433
5434	扒	bā	7	5434
5435	疤	bā	7	5435
5436	巴不得	bā bù dé	7	5436
5437	八成	bā chéng	7	5437
5438	八卦	bā guà	7	5438
5439	巴结	bā jie	7	5439
5440	芭蕾	bā lěi	7	5440
5441	巴掌	bā zhǎng	7	5441
5443	把柄	bǎ bǐng	7	5443
5444	把关	bǎ guān	7	5444
5445	把手	bǎ shǒu	7	5445
5446	靶子	bǎ zi	7	5446
5447	坝	bà	7	5447
5448	霸道	bà dào	7	5448
5449	罢工	bà gōng	7	5449
5450	罢了	bà le	7	5450
5451	罢免	bà miǎn	7	5451
5452	罢休	bà xiū	7	5452
5453	霸占	bà zhàn	7	5453
5454	掰	bāi	7	5454
5455	百般	bǎi bān	7	5455
5456	摆动	bǎi dòng	7	5456
5457	百分比	bǎi fēn bǐ	7	5457
5459	百科全书	bǎi kē quán shū	7	5459
5460	摆平	bǎi píng	7	5460
5461	摆设	bǎi shè	7	5461
5462	柏树	bǎi shù	7	5462
5463	败坏	bài huài	7	5463
5464	拜会	bài huì	7	5464
5465	拜见	bài jiàn	7	5465
5466	拜托	bài tuō	7	5466
5467	扳	bān	7	5467
5468	颁布	bān bù	7	5468
5469	斑点	bān diǎn	7	5469
5470	颁发	bān fā	7	5470
